,event,links
0,DC21ba,https://decat-webap.lbl.gov/decatview.py/cand/DC21ba?rbtype=undefined
1,DC21bap,https://decat-webap.lbl.gov/decatview.py/cand/DC21bap?rbtype=undefined
2,DC21baw,https://decat-webap.lbl.gov/decatview.py/cand/DC21baw?rbtype=undefined
3,DC21bbc,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbc?rbtype=undefined
4,DC21bbe,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbe?rbtype=undefined
5,DC21bbfh,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbfh?rbtype=undefined
6,DC21bbi,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbi?rbtype=undefined
7,DC21bbn,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbn?rbtype=undefined
8,DC21bbrx,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbrx?rbtype=undefined
9,DC21bbt,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbt?rbtype=undefined
10,DC21bbv,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbv?rbtype=undefined
11,DC21bbz,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbz?rbtype=undefined
12,DC21bbzn,https://decat-webap.lbl.gov/decatview.py/cand/DC21bbzn?rbtype=undefined
13,DC21bcb,https://decat-webap.lbl.gov/decatview.py/cand/DC21bcb?rbtype=undefined
14,DC21bck,https://decat-webap.lbl.gov/decatview.py/cand/DC21bck?rbtype=undefined
15,DC21bcve,https://decat-webap.lbl.gov/decatview.py/cand/DC21bcve?rbtype=undefined
16,DC21bdib,https://decat-webap.lbl.gov/decatview.py/cand/DC21bdib?rbtype=undefined
17,DC21bdj,https://decat-webap.lbl.gov/decatview.py/cand/DC21bdj?rbtype=undefined
18,DC21bdu,https://decat-webap.lbl.gov/decatview.py/cand/DC21bdu?rbtype=undefined
19,DC21bdyp,https://decat-webap.lbl.gov/decatview.py/cand/DC21bdyp?rbtype=undefined
20,DC21bdz,https://decat-webap.lbl.gov/decatview.py/cand/DC21bdz?rbtype=undefined
21,DC21bec,https://decat-webap.lbl.gov/decatview.py/cand/DC21bec?rbtype=undefined
22,DC21bek,https://decat-webap.lbl.gov/decatview.py/cand/DC21bek?rbtype=undefined
23,DC21berq,https://decat-webap.lbl.gov/decatview.py/cand/DC21berq?rbtype=undefined
24,DC21bfgp,https://decat-webap.lbl.gov/decatview.py/cand/DC21bfgp?rbtype=undefined
25,DC21bfh,https://decat-webap.lbl.gov/decatview.py/cand/DC21bfh?rbtype=undefined
26,DC21bfn,https://decat-webap.lbl.gov/decatview.py/cand/DC21bfn?rbtype=undefined
27,DC21bfq,https://decat-webap.lbl.gov/decatview.py/cand/DC21bfq?rbtype=undefined
28,DC21bft,https://decat-webap.lbl.gov/decatview.py/cand/DC21bft?rbtype=undefined
